dup_level,library_size,mt_content,sequencing_depth,mapping_rate,frac_open,frip,uniq_nuc_frags,plate,batch,stage,time_point,cell_type
zf_3.0hpf_plate4_061,0.76191,33285,0.339512,238640,76.85,4.6157,50.9497,32583,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_112,0.754324,6974,0.746378,47293,75.55,1.0172,48.017,6782,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_361,0.776397,171838,0.206447,1304528,76.8,18.6481,51.9875,169185,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_240,0.758485,27632,0.284007,188002,77.1,3.5382,46.0405,27035,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_179,0.756903,17119,2.191781,113632,76.53,2.3679,47.0042,16422,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_109,0.768563,72843,0.384889,526365,76.02,8.312,47.7799,71433,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_127,0.789112,28479,1.358686,231245,76.51,4.2398,53.6344,27806,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_267,0.753783,39016,1.415563,297467,75,5.651,60.0542,37677,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_050,0.754075,25478,2.111632,171568,75.89,3.5529,48.9642,24430,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_358,0.751942,13536,1.109434,90858,74.54,1.739,46.2943,13103,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_210,0.738958,6548,0.34499,41732,76.08,1.0117,50.9801,6355,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_031,0.743125,11117,0.617796,71732,74.73,1.5965,50.6916,10778,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_193,0.77428,38744,0.549724,288266,76.58,5.6688,52.7303,37991,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_064,0.753766,35203,0.408992,240642,75.6,4.6408,49.5722,34334,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_174,0.792612,37965,0.358957,303140,77.13,4.6607,46.9475,37474,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_298,0.756054,44727,0.307875,304388,76.22,5.7412,47.8278,43714,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_260,0.783442,47244,0.674547,360792,76.25,5.8711,46.6294,46383,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_196,0.765527,55751,0.105801,405294,76.05,6.9311,49.3597,54762,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_093,0.774665,27490,1.693102,209091,76.98,3.0545,47.5636,26651,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_106,0.770079,74617,0.166018,529135,77.93,8.5412,47.7104,73364,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_376,0.726355,53629,0.719909,327018,75.77,6.5845,49.2281,51577,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_144,0.699906,12700,0.07419,71880,74.14,1.7025,46.917,12122,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_001,0.759893,16332,5.015283,115195,77.3,2.5482,54.3198,15227,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_095,0.71915,4912,3.773983,28027,76.47,0.7007,47.6597,4564,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_288,0.793849,49280,0.552882,378973,78.8,5.4432,45.7807,48565,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_239,0.75317,7175,3.344244,47027,76.63,1.0736,48.8402,6792,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_164,0.786106,16341,0.823122,127277,76.69,2.3091,48.2393,16025,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_369,0.777569,83530,0.393046,629551,76.14,9.7866,48.5807,82109,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_156,0.776153,18310,1.533437,134426,76.63,2.5596,47.9988,17787,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_275,0.791084,86325,0.240989,693072,76.53,10.8186,51.0318,85275,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_293,0.778653,62322,0.394981,468476,77.18,7.665,48.963,61279,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_023,0.751733,8709,2.780385,63390,75.04,1.4296,55.3907,8287,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_007,0.76207,78277,0.544906,541785,76.96,9.2356,47.9361,76475,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_375,0.695621,49389,0.186964,279710,75.33,6.849,56.0402,46980,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
